用户ID,用户身体数据,用户锻炼计划,补剂摄入情况,时间
U001,"男,25岁,175cm,72kg,体脂16.5%",全身训练：深蹲3×10 + 卧推3×10 + 坐姿划船3×10 + 哑铃推举3×10 + 平板支撑3×30秒,乳清蛋白(30g)-训练后 | 肌酸(5g)-训练后 | 维生素D3(2000IU)-随早餐,2026-06-01
U002,"女,28岁,163cm,55kg,体脂23.0%",上肢推拉：杠铃卧推5×8 + 俯身划船5×8 + 哑铃推举4×10 + 面拉3×15 + 杠铃弯举3×10 + 有氧20min,,2026-06-01
U003,"男,32岁,180cm,85kg,体脂18.2%",深蹲日：杠铃深蹲5×5 + 卧推5×5 + 引体向上5×5 + 杠铃划船3×8 + 负重平板支撑3×30秒,乳清蛋白(30g)-训练后 | 肌酸(5g)-训练后 | 维生素D3(2000IU)-随早餐 | 鱼油(EPA+DHA 1g)-随餐 | 咖啡因(200mg)-训练前,2026-06-01
U004,"女,30岁,160cm,62kg,体脂28.5%",力量：深蹲3×12 + 哑铃卧推3×12 + 高位下拉3×12 + 后肢抬高3×12 + HIIT 20min,乳清分离蛋白(25g)-训练后 | 鱼油(EPA+DHA 2g)-随餐 | 维生素D3(2000IU)-随早餐 | 咖啡因(200mg)-训练前,2026-06-01
U005,"男,22岁,178cm,68kg,体脂14.0%",深蹲日：深蹲5×3（85%1RM）+ 3×3（90%1RM）+ 辅助：腿举4×8 + 后肢抬高3×8 + 平板支撑,乳清蛋白(40g)-训练后 | 肌酸(5g)-训练后 | β-丙氨酸(4.8g)-分次 | 咖啡因(300mg)-训练前 | 鱼油(EPA+DHA 2g)-随餐 | 维生素D3(2000IU)-随早餐,2026-06-01
U006,"女,26岁,165cm,58kg,体脂21.0%",推日：杠铃卧推5×8 + 上斜哑铃卧推4×10 + 哑铃推举4×10 + 侧平举3×15 + 绳索下压3×12 + 腹部,乳清蛋白(30g)-训练后 | 酪蛋白(30g)-睡前 | 肌酸(5g)-训练后 | 维生素D3(1000IU)-随早餐,2026-06-01
U007,"男,35岁,172cm,78kg,体脂20.0%",全身力量：深蹲4×10 + 卧推4×10 + 划船4×10 + 哑铃推举3×12 + 卷腹3×15,乳清蛋白(30g)-训练后 | 肌酸(5g)-训练后 | 鱼油(EPA+DHA 2g)-随餐 | 维生素D3(1000IU)-随早餐,2026-06-01
U008,"女,24岁,168cm,60kg,体脂24.0%",力量循环：深蹲3×12 + 弹力带划船3×12 + 哑铃卧推3×12 + 侧平板3×12 + 臀桥3×15,乳清蛋白(20g)-训练后 | 鱼油(EPA+DHA 1g)-随餐,2026-06-01
U009,"男,29岁,183cm,90kg,体脂22.0%",力量：杠铃深蹲4×8 + 卧推4×8 + 宽握高位下拉4×10 + 侧平举3×15 + 卷腹3×20 + 有氧25min,乳清蛋白(35g)-训练后 | 肌酸(5g)-训练后 | HMB(3g)-分次 | 鱼油(EPA+DHA 3g)-随餐 | 维生素D3(2000IU)-随早餐,2026-06-01
U010,"女,27岁,162cm,52kg,体脂19.5%",力量耐力：深蹲4×10 + 引体向上4×10 + 硬拉4×10 + 哑铃推举4×10 + 波比跳20,,2026-06-01
U001,"男,25岁,175cm,72kg,体脂16.5%",休息日,鱼油(EPA+DHA 2g)-随餐,2026-06-02
U002,"女,28岁,163cm,55kg,体脂23.0%",下肢：高杠深蹲5×8 + 罗马尼亚硬拉4×10 + 保加利亚分腿蹲3×10 + 小腿提踵3×15 + 椭圆机20min,分离乳清蛋白(25g)-训练后 | 肌酸(5g)-训练后 | β-丙氨酸(3.2g)-分次 | 鱼油(EPA+DHA 2g)-随餐 | 咖啡因(200mg)-训练前,2026-06-02
U003,"男,32岁,180cm,85kg,体脂18.2%",休息日,鱼油(EPA+DHA 2g)-随餐,2026-06-02
U004,"女,30岁,160cm,62kg,体脂28.5%",有氧：慢跑30min + 核心训练15min,乳清分离蛋白(25g)-训练后 | 鱼油(EPA+DHA 2g)-随餐 | 维生素D3(2000IU)-随早餐 | 咖啡因(200mg)-训练前,2026-06-02
U005,"男,22岁,178cm,68kg,体脂14.0%",休息日,维生素D3(2000IU)-随早餐,2026-06-02
U006,"女,26岁,165cm,58kg,体脂21.0%",拉日：引体向上4×8 + T杠划船4×10 + 面拉3×15 + 反向飞鸟3×12 + 杠铃弯举3×10 + 锤式弯举3×10,乳清蛋白(30g)-训练后 | 酪蛋白(30g)-睡前 | 肌酸(5g)-训练后 | 维生素D3(1000IU)-随早餐,2026-06-02
U007,"男,35岁,172cm,78kg,体脂20.0%",低强度有氧：快走40min,乳清蛋白(30g)-训练后 | 肌酸(5g)-训练后 | 鱼油(EPA+DHA 2g)-随餐 | 维生素D3(1000IU)-随早餐,2026-06-02
U008,"女,24岁,168cm,60kg,体脂24.0%",普拉提 40min,,2026-06-02
U009,"男,29岁,183cm,90kg,体脂22.0%",力量：硬拉4×6 + 哑铃上斜卧推4×8 + 坐姿划船4×10 + 哑铃推举3×10 + 面拉3×12 + 椭圆机25min,乳清蛋白(35g)-训练后 | 肌酸(5g)-训练后 | HMB(3g)-分次 | 鱼油(EPA+DHA 3g)-随餐 | 维生素D3(2000IU)-随早餐,2026-06-02
U010,"女,27岁,162cm,52kg,体脂19.5%",间歇训练：400m×6组（1:1工作休息）+ 核心20min,维生素D3(2000IU)-随早餐,2026-06-02
U001,"男,25岁,175cm,72kg,体脂16.5%",全身训练：硬拉3×8 + 上斜哑铃卧推3×10 + 引体向上（辅助）3×8 + 哑铃弯举3×10 + 卷腹3×15,乳清蛋白(30g)-训练后 | 肌酸(5g)-训练后 | 维生素D3(2000IU)-随早餐,2026-06-03
